cliente_id,idade,regiao,canal_aquisicao,tempo_contrato_meses,valor_mensalidade,produtos_contratados,num_reclamacoes,atraso_pagamentos,score_credito,variacao_gasto_pct,mes_referencia,cancelou
CLI00159,62,Sudeste,Digital,40,103.18,4,3,0,402.0,-20.2,2024-05,0
CLI00160,37,Sudeste,Digital,22,57.68,5,2,0,339.0,1.7,2023-04,0
CLI00161,25,Sudeste,Digital,27,212.82,3,3,1,,-5.0,2024-03,1
CLI00162,45,Sudeste,Digital,35,142.03,4,3,2,,12.1,2024-01,1
CLI00163,68,Nordeste,Digital,1,265.99,4,1,0,399.0,23.7,2023-09,0
CLI00164,36,Sul,Loja física,35,168.2,1,3,0,443.0,,2023-04,1
CLI00165,33,Sul,Digital,37,291.95,3,1,0,381.0,-13.3,2023-08,0
CLI00166,28,Centro-Oeste,Digital,47,96.28,5,5,0,888.0,-0.4,2024-03,0
CLI00167,59,Sudeste,Digital,14,267.06,3,0,1,870.0,-12.0,2024-02,0
CLI00168,25,Sudeste,Loja física,3,244.05,3,2,1,528.0,-3.3,2023-03,0
CLI00169,50,Centro-Oeste,Digital,1,242.63,3,2,3,902.0,-8.0,2024-05,0
CLI00170,27,Nordeste,Digital,5,261.1,4,2,2,694.0,-15.1,2023-08,1
CLI00171,35,Sudeste,Telemarketing,26,240.16,2,1,0,812.0,12.4,2024-02,0
CLI00172,52,Sudeste,Digital,55,206.46,2,0,0,496.0,1.1,2024-01,0
CLI00173,60,Sudeste,Loja física,14,82.71,1,2,2,573.0,27.5,2024-03,0
CLI00174,67,Sul,Indicação,39,58.03,3,2,0,889.0,5.4,2023-11,0
CLI00175,20,Sudeste,Digital,27,280.11,2,1,0,952.0,19.3,2024-03,0
CLI00176,57,Sul,Indicação,9,204.06,1,0,1,882.0,-10.9,2023-12,0
CLI00177,44,Sudeste,Telemarketing,15,249.03,4,3,2,861.0,-11.1,2023-09,1
CLI00178,45,Nordeste,Digital,15,170.28,3,3,1,671.0,33.3,2024-03,1
CLI00179,63,Sudeste,Indicação,26,79.23,5,1,1,,-9.1,2023-01,0
CLI00180,23,Sul,Digital,42,81.2,4,1,1,534.0,-14.2,2023-12,0
CLI00181,64,Sudeste,Digital,60,221.29,1,3,1,586.0,-17.6,2023-06,0
CLI00182,31,Sudeste,Indicação,13,157.48,4,0,0,966.0,28.7,2023-01,0
CLI00183,24,Nordeste,Telemarketing,51,100.03,5,0,1,871.0,-4.1,2024-01,0
CLI00184,27,Nordeste,Loja física,32,172.8,4,1,1,844.0,6.1,2023-06,0
CLI00185,32,Nordeste,,39,65.95,1,4,1,736.0,2.3,2024-05,0
CLI00186,48,Nordeste,Loja física,49,195.39,5,2,0,426.0,-10.9,2024-01,0
CLI00187,46,Sudeste,Loja física,52,117.15,5,1,0,716.0,,2023-09,0
CLI00188,59,Nordeste,Digital,32,249.29,4,2,1,937.0,12.7,2023-08,0
CLI00189,34,Sudeste,Telemarketing,4,127.49,5,3,2,340.0,-18.4,2024-03,1
CLI00190,68,Sudeste,Digital,30,163.71,4,1,1,768.0,10.1,2024-06,0
CLI00191,46,Nordeste,Digital,37,52.81,3,1,0,596.0,21.5,2023-02,0
CLI00192,66,Centro-Oeste,Digital,23,68.01,5,4,2,896.0,4.4,2023-02,0
CLI00193,61,Nordeste,Digital,39,148.02,4,1,0,900.0,20.0,2023-11,0
CLI00194,32,Nordeste,Loja física,45,169.88,3,0,0,341.0,-20.6,2023-01,0
CLI00195,43,Norte,Digital,15,199.91,5,0,0,931.0,-27.5,2024-06,0
CLI00196,29,Sudeste,Indicação,43,122.82,3,1,1,578.0,3.6,2023-07,0
CLI00197,42,Norte,Digital,29,223.65,5,0,1,758.0,-8.8,2024-05,0
CLI00198,58,Sul,Digital,36,264.93,1,0,0,332.0,13.2,2024-04,1
CLI00199,22,Nordeste,Indicação,13,244.86,1,0,0,575.0,-4.7,2023-07,0
CLI00200,21,Nordeste,Digital,32,59.8,4,4,0,964.0,2.2,2023-07,0
CLI00201,61,Sul,Loja física,7,170.03,2,1,0,389.0,1.2,2023-02,0
CLI00202,65,Nordeste,,59,76.13,1,0,2,915.0,1.7,2023-05,0
CLI00203,58,Sudeste,Loja física,51,110.41,2,0,1,823.0,-8.1,2024-02,0
CLI00204,48,Centro-Oeste,Loja física,22,296.57,3,0,1,459.0,,2023-08,0
CLI00205,20,Sudeste,Indicação,28,85.52,3,0,2,757.0,-3.3,2023-12,0
CLI00206,20,Sudeste,Telemarketing,2,174.62,2,1,1,698.0,21.8,2023-07,1
CLI00207,43,Sudeste,Digital,42,204.44,4,0,1,390.0,-9.1,2023-06,0
CLI00208,67,Sudeste,Loja física,45,225.52,5,0,0,880.0,-9.2,2024-01,0
CLI00209,34,Sudeste,Digital,57,189.81,2,1,0,765.0,2.4,2023-12,0
CLI00210,27,Sudeste,Digital,53,52.34,2,1,2,519.0,-17.7,2024-05,0
CLI00211,19,Sul,Digital,6,131.52,2,0,1,718.0,15.1,2024-04,0
CLI00212,41,Sul,Telemarketing,28,179.33,2,0,0,678.0,-16.2,2023-01,0
CLI00213,28,Sudeste,Loja física,28,71.87,2,1,0,746.0,,2023-07,0
CLI00214,41,Sudeste,Digital,44,137.56,4,2,0,445.0,38.1,2023-03,0
CLI00215,52,Norte,Digital,44,58.2,1,1,0,532.0,-17.1,2023-06,0
CLI00216,40,Sudeste,Telemarketing,20,69.54,5,0,1,670.0,22.1,2023-03,0
CLI00217,49,Sudeste,Digital,30,149.13,1,1,0,533.0,,2023-03,1
CLI00218,40,Sudeste,Digital,11,83.08,2,1,0,,3.9,2023-08,0
CLI00219,51,Sudeste,Indicação,58,191.79,1,1,2,780.0,-12.1,2024-02,1
CLI00220,58,Nordeste,Loja física,55,222.27,4,1,0,872.0,12.0,2023-09,0
CLI00221,36,Sudeste,Digital,28,250.05,3,1,0,662.0,-5.5,2023-05,0
CLI00222,19,Sul,Digital,25,99.94,1,2,0,889.0,-17.2,2024-03,1
CLI00223,68,Sudeste,Telemarketing,39,91.77,5,2,0,810.0,21.8,2024-05,0
CLI00224,19,Nordeste,Telemarketing,33,76.04,4,4,0,394.0,-5.8,2023-10,0
CLI00225,32,Nordeste,Digital,1,209.01,3,0,0,515.0,-27.9,2023-08,0
CLI00226,38,Sudeste,Digital,57,226.52,4,2,1,842.0,-4.0,2024-06,0
CLI00227,52,Sudeste,Digital,27,57.8,2,2,3,434.0,12.1,2023-06,0
CLI00228,22,Sudeste,Loja física,57,283.95,3,2,0,382.0,9.7,2024-05,0
CLI00229,60,Nordeste,Indicação,52,62.89,5,2,0,690.0,-9.6,2023-04,0
CLI00230,44,Sudeste,Digital,13,185.22,3,0,1,346.0,-14.7,2024-03,0
CLI00231,41,Sul,Indicação,41,227.17,5,1,2,691.0,-20.5,2023-10,0
CLI00232,24,Sudeste,Loja física,3,267.64,2,2,1,684.0,-0.3,2024-01,1
CLI00233,23,Sudeste,Indicação,39,228.42,5,1,0,680.0,2.3,2023-01,0
CLI00234,63,Sudeste,Telemarketing,6,250.33,4,1,0,376.0,10.6,2023-09,0
CLI00235,50,Sudeste,Digital,8,134.76,1,1,0,558.0,-2.2,2023-05,0
CLI00236,66,Sudeste,Digital,27,253.61,4,1,1,903.0,-2.7,2023-11,0
CLI00237,34,Sudeste,Loja física,9,69.93,4,0,1,698.0,-4.2,2023-04,0
CLI00238,63,Sul,Indicação,37,273.6,3,0,1,399.0,2.3,2024-04,0
CLI00239,59,Sudeste,Digital,33,186.8,2,0,2,800.0,-2.0,2024-06,0
CLI00240,47,Nordeste,Indicação,51,254.22,1,1,0,682.0,14.1,2023-08,0
CLI00241,25,Nordeste,Digital,42,162.98,5,3,1,491.0,4.7,2023-02,0
CLI00242,57,Nordeste,Digital,44,210.79,3,1,2,879.0,1.6,2024-05,0
CLI00243,63,Centro-Oeste,Digital,24,181.5,2,1,0,901.0,-0.6,2023-10,0
CLI00244,24,Sudeste,Telemarketing,15,232.8,1,3,0,644.0,-14.1,2024-01,0
CLI00245,23,Sudeste,Loja física,59,70.31,4,1,0,309.0,-0.0,2024-03,0
CLI00246,21,Sul,Digital,54,64.99,2,0,2,563.0,-9.7,2023-09,0
CLI00247,18,Sul,Telemarketing,32,111.68,2,1,1,567.0,5.2,2023-08,0
CLI00248,32,Sul,Indicação,32,89.79,2,0,0,929.0,-3.1,2023-06,0
CLI00249,48,Sudeste,Indicação,24,267.85,4,0,0,870.0,25.0,2023-04,0
CLI00250,42,Sul,Digital,41,104.7,5,4,0,494.0,-18.9,2024-06,0
CLI00251,64,Centro-Oeste,Digital,52,293.87,3,1,0,861.0,-46.5,2023-03,0
CLI00252,50,Sudeste,Loja física,49,134.12,5,0,0,706.0,4.0,2023-04,0
CLI00253,69,Norte,Indicação,49,95.43,1,2,0,,-9.6,2024-01,0
CLI00254,52,Sudeste,Loja física,58,247.32,3,0,0,396.0,2.4,2023-11,0
CLI00255,22,Sudeste,Loja física,52,214.58,1,0,1,761.0,-18.5,2023-08,0
CLI00256,22,Sudeste,Indicação,12,174.45,4,0,1,938.0,28.6,2024-02,0
CLI00257,53,Sul,Digital,39,188.74,5,2,0,,-5.8,2024-02,0
CLI00258,34,Sul,Loja física,2,229.7,2,1,0,376.0,-10.6,2024-04,1
CLI00259,69,Sul,Digital,3,107.01,3,1,0,782.0,28.4,2024-02,1
CLI00260,31,Sul,Digital,49,298.98,2,3,1,445.0,12.6,2023-01,1
CLI00261,46,Sudeste,Digital,37,293.6,1,1,2,960.0,20.8,2023-02,0
CLI00262,25,Sudeste,,49,212.48,2,0,1,410.0,-2.6,2023-01,0
CLI00263,51,Sudeste,Indicação,56,99.79,2,0,0,940.0,0.7,2023-11,1
CLI00264,57,Norte,Digital,17,219.96,4,1,1,977.0,-9.0,2023-06,0
CLI00265,18,Sudeste,Digital,59,67.95,4,2,0,596.0,-10.7,2024-03,0
CLI00266,46,Centro-Oeste,Digital,49,57.56,5,1,1,725.0,6.0,2023-12,0
CLI00267,53,Sudeste,Telemarketing,2,114.32,1,0,1,948.0,-5.5,2023-05,0
CLI00268,68,Sudeste,Loja física,2,165.56,4,1,1,,,2023-12,1
CLI00269,54,Sudeste,Telemarketing,28,266.97,4,1,0,822.0,12.6,2024-02,0
CLI00270,46,Sudeste,Indicação,54,231.69,5,0,0,882.0,28.2,2024-02,0
CLI00271,22,Norte,Digital,23,235.58,3,1,0,970.0,-33.4,2023-05,0
CLI00272,49,Nordeste,Digital,37,156.27,5,0,0,837.0,28.4,2023-03,0
CLI00273,69,Centro-Oeste,Loja física,32,136.38,2,1,1,461.0,-35.8,2024-06,1
CLI00274,41,Nordeste,Digital,33,142.66,2,1,0,729.0,-18.9,2023-06,0
CLI00275,36,Sul,Digital,1,296.81,4,0,1,,-26.3,2023-09,0
CLI00276,29,Nordeste,Digital,19,59.93,4,2,1,368.0,3.6,2023-07,1
CLI00277,69,Sul,Loja física,2,266.66,5,1,0,432.0,-0.3,2024-06,0
CLI00278,18,Nordeste,Loja física,53,194.57,5,1,2,488.0,11.9,2023-02,0
CLI00279,24,Sudeste,Digital,44,159.55,1,3,0,977.0,-1.3,2023-10,0
CLI00280,34,Sudeste,Loja física,26,231.21,2,0,1,872.0,18.4,2023-12,0
CLI00281,51,Sul,Digital,32,171.57,5,0,1,578.0,-14.0,2023-02,0
CLI00282,60,Sudeste,Indicação,6,268.26,3,3,1,729.0,18.7,2024-01,0
CLI00283,24,Sul,Indicação,32,275.08,1,1,1,924.0,-0.5,2023-08,0
CLI00284,34,Centro-Oeste,Digital,55,155.33,5,3,0,841.0,,2023-07,0
CLI00285,20,Sul,Loja física,4,119.11,4,2,1,460.0,13.1,2023-03,0
CLI00286,46,Sul,Loja física,55,197.99,5,4,0,752.0,-4.6,2023-08,0
CLI00287,39,Sudeste,Digital,11,277.99,4,0,0,,-0.5,2023-01,1
CLI00288,55,Nordeste,Digital,56,102.57,4,1,1,997.0,-15.1,2024-03,0
CLI00289,60,Sudeste,Telemarketing,59,205.64,2,4,0,356.0,5.4,2023-01,0
CLI00290,46,Norte,,17,207.79,2,1,0,539.0,-4.6,2023-12,0
CLI00291,67,Norte,Loja física,38,233.18,5,1,2,657.0,10.9,2023-11,1
CLI00292,67,Centro-Oeste,Indicação,24,82.79,5,1,0,500.0,-20.1,2024-04,0
CLI00293,59,Sudeste,Digital,5,228.86,3,1,1,743.0,-4.9,2023-04,0
CLI00294,22,Sudeste,Digital,52,277.16,1,2,3,,-17.4,2023-02,1
CLI00295,47,Centro-Oeste,Indicação,34,94.82,1,0,2,405.0,-16.5,2023-03,0
CLI00296,40,Nordeste,Digital,6,109.29,5,0,0,400.0,9.1,2023-04,0
CLI00297,38,Centro-Oeste,Loja física,22,292.75,2,1,0,396.0,16.9,2024-06,1
CLI00298,43,Sul,Indicação,11,95.14,3,2,0,964.0,-35.0,2023-12,0
CLI00299,64,Sul,Indicação,48,263.5,1,0,1,328.0,27.9,2023-01,1
CLI00300,38,Sudeste,Telemarketing,16,172.97,5,2,0,805.0,21.1,2023-03,0
CLI00301,37,Nordeste,Indicação,33,111.71,2,4,1,,-20.2,2023-04,1
CLI00302,40,Nordeste,Loja física,9,267.59,2,0,2,737.0,12.4,2023-06,0
